name,clustcoef,numNotes,numUniqueNotes,numEdges,connected,diameter,avgpathlen
"100 Years and More",0.05675091126205882,354,29,79,True,7,3.064039408866995
"1976 Police Tattoo, The",0.03443397778434921,116,21,40,True,7,3.15
"48th Highlanders of Canada Pipes & Drums March, The",0.064078781339485,229,27,86,True,5,2.6495726495726495
"51st Highland Division, The",0.07858656179543246,115,16,32,True,7,3.1041666666666665
"74th Slow March, The",0.024060148406603723,321,24,52,True,8,3.5344202898550723
"79th Highlanders, The",0.03250899638096314,102,24,53,False,NA,NA
"8th Argylls' Farewell to the 116th Regiment de Ligne, The",0.0327934254695628,126,35,87,True,8,3.384033613445378
"A Garden Walk",0.02539840846613474,28,15,24,True,9,3.9095238095238094
"A Nation Once Again",0.033749292398437734,119,24,68,True,7,2.782608695652174
"Accordian Man, The",0.06141184843954894,208,15,41,True,6,2.5285714285714285
"Advance Australia Fair",0.08402374933374783,75,21,45,True,6,2.980952380952381
"All Through the Night",0.06717697746875025,73,21,28,True,13,5.95
"America The Beautiful-Yankee Doodle Dandy",0.06160268962092006,106,22,71,True,6,2.7510822510822512
"American Set",0.038848482829445204,325,31,114,False,NA,NA
"Anchors Aweigh",0.11670341018525672,54,17,33,True,9,3.6213235294117645
"Andrew Warnock",0.05430647638375602,196,28,79,True,5,2.7976190476190474
"Annie Laurie",0.04987651876374474,70,21,41,True,9,3.842857142857143
"Arnaults Trumpet Olympic Fanfare",0.08620922508082196,38,15,19,False,NA,NA
"Aroak Mont da Soudard",0.03485012634394494,144,25,50,True,9,3.8966666666666665
"At Long Last",0.037822742206151456,216,20,39,True,9,3.3236842105263156
"Auld Hoose, The",0.07141877393921954,78,17,37,True,7,3.036764705882353
"Auld Lang Syne",0.0382790959440014,58,17,28,False,NA,NA
"Babinskem's Ballad",0.039575912105646927,88,23,30,True,15,5.92094861660079
"Badge Of Scotland, The",0.05121075737776706,100,18,39,True,5,2.8300653594771243
"Ballad of the Green Berets, The",0.110102248535588,140,18,37,True,7,3.2549019607843137
"Battle of Killcrankie, The",0.03500262229148277,183,21,47,True,10,3.8380952380952382
