Name,Idiom,Time Sig,Num Parts,Num Lines
"10 Minute Man, The",Hornpipe,NA,2,4
100 Years and More,March,4_4,4,8
10th Argylls at Venice. The,March,3_4,2,5
"10th Battalion H.L.I. Crossing, The Rhine, The",March,6_8,4,8
"10th Highland Light Infantry Crossing The Rhine, The",March,6_8,4,8
"11th of September, The",NA,9_8,0,15
"1976 Police Tattoo, The",March,4_4,2,4
42nd Highlanders,March,2_4,2,5
"48th Highlanders of Canada Pipes & Drums March, The",March,4_4,4,9
"48th Highlanders of Canada, The",March,2_4,2,4
"4th Horn Concherto, The",Jig,NA,2,4
"51st Highland Division at Wadi Akarit, The",March,2_4,4,8
51st Highland Division at Wadi Akarit,March,2_4,4,8
"51st Highland Division, The",March,4_4,0,8
"691 Cadets, The",March,6_8,4,9
6th June 1944,March,12_8,4,8
72nd Highlanders' Farewell To Aberdeen,March,2_4,2,4
72nd's Farewell to Aberdeen,March,2_4,2,4
"74th Slow March, The",March, C ,3,7
74th's Farewell To Edinburgh,March,2_4,5,10
"74th's Slow March, The",March,6_8,3,6
"78th Highlanders Farewell to Montreal 1869, The",March,2_4,2,4
"78th Highlanders March, The",March,6_8,3,5
"78th Highlanders' Walk Round, The",Hornpipe,2_4,2,4
"78th Way, The",Hornpipe,3_4,4,5
"79th Farewell to Gibraltar, The",March,2_4,0,8
"79th Highlanders, The",March,4_4,2,5
"7th Armored Division in the Valley of Tears, The",March,2_4,4,8
"8th Argylls' Farewell to the 116th Regiment de Ligne, The",March,4_4,2,4
9 O'Clock Walk,Jig,6_8,4,8
91st At Modder River,March,2_4,4,8
"92nd Gordon Highlanders' March, The",March,2_4,3,6
"92nd Volunteers, The",Strathspey, C ,3,3
A Border Ballad,Slow Air,3_4,1,2
A Boy's Lament for His Dragon,March,2_4,2,4
A Coronach For Beatrice,Slow Air,6_8,2,5
A Cup of Tea,Reel, C_ ,2,2
A Cur Nan Gobhar As A' Chreig,Reel,4_4,1,8
A Dream Afore Ye Go,Jig,6_8,6,12
A Drunken Man's Waltz,Waltz,4_4,0,8
A Fig For A Kiss,Jig,9_8,7,11
A Fine Summer's Day,March,2_4,4,8
A Garden Walk,March,4_4,0,2
A Glengarry State of Mind,Reel,NA,4,8
A Good Alberta Beer,March,2_4,4,8
A Hundred Pipers,March,6_8,2,4
A Lean Week,Reel,4_4,2,4
A Mans A Man For A That,March,2_4,2,4
A Mighty Fortress Is Our God,NA,4_4,2,6
A Minstrel's Salute,March,6_8,2,5
A Monkey on the Pony,Hornpipe,2_4,2,4
A Nation Once Again,March, C ,0,7
A Scarce o' Tatties,Jig,6_8,2,4
A Scottish Ramble,Strathspey, C ,2,2
A Shade of Jade,Jig,9_8,2,2
A Suite To Prelude,Air, C_ ,7,14
A Theory Of Everything,Jig,NA,2,2
A Wee Spanish Twist,Reel, C_ ,4,8
A.A. Cameron NW,Strathspey,NA,2,2
A.A. Cameron,Strathspey,NA,2,2
A.W. Berthoff's Reel,Reel, C_ ,4,8
Abbey Close,Strathspey, C ,2,3
"Abbey Craig Burns Club Diamond Jubille March, The",March,9_8,2,5
Abbieville,NA,9_8,2,4
"Abercairney Highlanders, The",March,2_4,1,15
Abide with Me,NA,4_4,1,4
Aboriginal Tree,NA,6_8,2,4
"Accordian Jig, The",Jig,6_8,4,8
"Accordian Man, The",March,4_4,1,4
Achany Glen,March,2_4,4,8
Acid Piper,Hornpipe,2_4,3,6
Adam Haugh,March,12_8,4,16
"Adelaide University Regiment In The Hills Of Delamere, The",March,6_8,4,9
Adosatoni,Hornpipe, C_ ,16,33
Advance Australia Fair,March,4_4,1,5
Advance To The East,Reel,NA,2,4
Ae Fond Kiss,Slow Air,12_8,2,4
After Curfew,Reel, C_ ,2,4
After The Battle-Seconds,Slow Air,4_4,0,4
After The Battle,Slow Air,4_4,0,4
Afternoon at the Green Monster,Reel,2_4,4,8
Aggitated Fingers,Jig,6_8,5,10
Aileen Robertson's Dancing Feet ,NA,4_4,2,4
Ainsley Morrison,Reel, C_ ,1,4
Air Force,NA, C ,0,4
Airde Cuain,Air,NA,1,5
Aires de Pontevedra,Air,2_4,2,6
Airforce March Past,Air,2_4,1,7
Al MacDonald's Practice Table,March,6_8,4,8
Alan MacPherson of Mosspark,Jig,6_8,4,10
Alan McDonalds,Reel, C_ ,2,2
Alba-Calling Ye Home,Air,4_4,0,4
Alberta Prairie Waltz,Waltz,6_8,4,8
"Ale is Dear, The",Reel, C_ ,2,3
Alexander Brown Cardenden,NA,3_4,2,5
Alexander MacKenzie,March,6_8,1,5
Alexander William Craig - Seaforth Highlanders,March,2_4,5,12
Alexander's Farewell ,Slow Air,3_4,2,4
Alfred E. Milne,March,2_4,1,8
Alicia and Zoe,Hornpipe,2_4,2,4
Alicia Jessie Cameron Finan,March,6_8,4,8
Alick C McGregor,Reel, C_ ,4,8
Alick Cameron (Champion Piper),Reel, C_ ,4,7
All Creatures of Our God and King,NA,NA,1,4
All Hail The Power Of Jesus' Name,NA,4_4,0,3
All the Blue Bonnets are Over the Border,NA,6_8,4,8
All Through the Night,March,4_4,2,3
All Tied Up,Hornpipe,2_4,4,8
"Allan Gilmore, Tom of Canna",March,2_4,4,9
Allan Rowan Of Port Appin,March,2_4,4,10
Allanfield,Strathspey,NA,2,6
Allans Bonnet,Strathspey, C ,0,8
"Alma Incident, The",Reel,2_2,5,8
"Alma, The",March,2_4,2,5
Aloha Oe,Air,4_4,1,3
Am Bata Rannach,Slow Air,6_8,1,4
Amanda's Passion,Reel,4_4,4,5
Amazing Grace 2nds,NA,3_4,1,4
Amazing Grace 3rds,NA,3_4,1,4
Amazing Grace 4ths,NA,3_4,1,4
Amazing Grace w Harmony,Air,3_4,2,8
Amazing Grace,NA,3_4,1,4
Amber Delight,NA,6_8,2,4
"Amber Necter, The",Jig,6_8,4,8
America The Beautiful-Yankee Doodle Dandy,March,4_4,1,6
America The Beautiful,NA,4_4,1,4
American Set,March,4_4,3,15
Amy's First Launch,Jig,6_8,4,10
Amy's Reel,Reel, C_ ,2,3
An Ataireachd Ard,Air,6_8,1,3
An Chailleach sa Tornoig,Jig,12_8,1,3
An Dealachadh aka The Parting,NA,NA,2,15
An Dro,NA,2_4,1,2
